Name,Rating,Reviews,Salaries,Interviews,Jobs
Macleods Pharmaceuticals,3.6,(3.9k),15.5k,250,19
LG Electronics,3.9,(3.9k),10.8k,246,--
Aakash Educational Services,3.2,(3.9k),13.2k,349,57
Tata Communications,3.9,(3.9k),23.1k,288,210
Royal Enfield,4.2,(3.8k),14.4k,187,5
VE Commercial Vehicles,3.9,(3.8k),13.4k,263,6
Jubilant Foods Works,3.7,(3.8k),8.9k,236,136
John Deere,4.0,(3.8k),15k,259,2
HDFC Ergo General Insurance,3.9,(3.8k),11.9k,182,20
Oyo Rooms,3.1,(3.8k),15k,248,102
Jindal Steel Limited,3.9,(3.8k),15k,392,23
DCB Bank,3.8,(3.8k),9.7k,214,14
Hindalco Industries,4.2,(3.7k),11.7k,269,8
Reliance Communications,4.0,(3.7k),9.7k,102,--
Cummins,4.3,(3.7k),15.3k,269,10
State Street Corporation,3.6,(3.7k),30k,271,1
RBL Bank,3.5,(3.7k),18.1k,225,82
Carelon Global Solutions,3.8,(3.7k),26.1k,401,34
XpressBees,4.2,(3.7k),8k,430,16
Bank of America,4.2,(3.7k),27.3k,276,--
PVR Inox,3.9,(3.6k),9.3k,196,15
Publicis Sapient,3.4,(3.6k),29.8k,668,224
Alembic Pharmaceuticals,3.9,(3.6k),14.8k,243,29
Subros,3.8,(3.6k),12.4k,209,1
American Express,4.1,(3.6k),23.5k,407,225
Viatris,4.1,(3.6k),14.1k,156,6
Pidilite Industries,4.2,(3.6k),11.1k,245,6
Kogta Financial India Limited,4.7,(3.6k),1.7k,178,105
Automatic Data Processing (ADP),3.9,(3.6k),21.4k,281,16
Escorts Kubota Limited,4.1,(3.5k),12.9k,269,4
Sodexo,4.0,(3.5k),9.8k,193,739
PNB MetLife,3.4,(3.5k),7.9k,180,9
Maersk,4.0,(3.5k),18.4k,240,62
Aditya Birla Sun Life Insurance,4.0,(3.5k),9.8k,166,--
Samvardhana Motherson Group,3.7,(3.5k),12.2k,249,15
Godrej & Boyce Manufacturing,3.9,(3.5k),14.7k,214,38
Abbott,4.1,(3.5k),11.3k,172,321
Dabur,3.9,(3.5k),8.5k,320,38
Synechron,3.5,(3.5k),27.3k,398,117
Birlasoft,3.5,(3.5k),29.3k,309,2
Bharat Electronics,4.2,(3.5k),12.2k,237,--
Cogent E Services,3.2,(3.5k),9.9k,285,1
Kyndryl,3.9,(3.4k),25k,212,108
Grasim Industries,4.0,(3.4k),12.2k,262,1
Glenmark Pharmaceuticals,3.8,(3.4k),11.6k,170,59
Kotak Mahindara Life Insurance,3.5,(3.4k),12.5k,254,226
Tata Capital,4.0,(3.4k),11k,183,1.7k
Aarti Industries,4.0,(3.4k),13.9k,314,4
JK Cement,4.0,(3.4k),9.6k,317,3
Indian Oil Corporation,4.4,(3.4k),7.6k,230,--
KPIT Technologies,3.0,(3.4k),22.1k,330,46
Ipca Laboratories,3.9,(3.4k),11.4k,186,38
Reliance Projects & Property Management Services,4.0,(3.4k),7.2k,197,--
"NTT DATA, Inc.",3.9,(3.3k),21.3k,144,160
Johnson Controls,3.5,(3.3k),16.6k,291,20
MRF Tyres,3.6,(3.3k),12.2k,352,14
Alkem Laboratories,3.9,(3.3k),9.5k,185,43
Reliance Digital,4.1,(3.3k),7.9k,152,--
Ford Motor,4.2,(3.3k),14.7k,171,1
IGT Solutions,3.3,(3.3k),13.2k,242,85
Honda Motorcycle & Scooter,4.1,(3.3k),10.7k,186,--
Vishal Mega Mart,3.7,(3.3k),6.1k,191,5
UBS,3.9,(3.3k),30.7k,366,--
24/7 Customer,3.4,(3.2k),11.4k,180,47
Hindustan Coca Cola Beverages,4.0,(3.2k),7.5k,166,37
Ceat Tyres,3.9,(3.2k),12.6k,198,8
Reliance Nippon Life Insurance,3.4,(3.2k),8.2k,160,13
DTDC Express,3.7,(3.2k),8.4k,181,24
HARMAN,3.8,(3.2k),23.9k,288,141
ABB,4.1,(3.2k),16.9k,268,479
ArcelorMittal Nippon Steel,4.1,(3.2k),11.1k,260,--
Indian Air Force,4.6,(3.1k),5k,76,--
NatWest Group,4.0,(3.1k),20.2k,231,--
PhonePe,4.0,(3.1k),12.1k,380,28
RSPL Group,4.1,(3.1k),9.4k,235,25
UNO Minda,4.0,(3.1k),10.5k,223,4
Barclays,3.7,(3.1k),29.2k,297,--
Marpu Foundation,4.8,(3.1k),55,222,--
InterGlobe Aviation,3.5,(3.1k),13.3k,353,43
GeBBS Healthcare Solutions,3.7,(3.1k),11.3k,172,64
Conduent,3.4,(3.1k),16.7k,220,527
Tata Technologies,3.4,(3.1k),21.9k,298,127
AGS Health,4.0,(3.1k),13.7k,197,36
Alstom Transportation,3.7,(3k),14.1k,272,429
Future Group,4.2,(3k),6.9k,81,--
Tata AIG,4.0,(3k),11.2k,183,100
TVS Credit Services Ltd,4.2,(3k),7k,142,48
Max Healthcare,3.9,(3k),10.1k,174,130
Cloudnine Hospital,4.5,(3k),2.7k,866,--
UPL,4.1,(3k),10.8k,208,44
Dilip Buildcon,3.9,(3k),8k,169,26
Croma,3.8,(3k),8.7k,168,15
Amazon Transportation Services,4.2,(3k),8.1k,247,--
PepsiCo,4.0,(3k),12.5k,227,251
Walmart,3.5,(3k),21k,427,167
Titan Company,4.3,(2.9k),9.3k,183,198
Bajaj General Insurance Limited,3.8,(2.9k),9.1k,117,412
S&P Global,4.0,(2.9k),19.6k,317,256
Varroc Group,3.6,(2.9k),9.3k,211,46
Mankind Pharma,3.8,(2.9k),9.1k,236,12
Blinkit,3.8,(2.9k),11.3k,284,2
CMS IT Services,3.0,(2.9k),9.5k,151,71
Societe Generale Global Solution Centre,3.7,(2.9k),22k,289,82
MSN Laboratories,3.6,(2.9k),9.2k,161,36
Afcons Infrastructure,4.2,(2.9k),8.3k,250,30
Torrent Pharmaceuticals,4.0,(2.8k),10.1k,149,24
Square Yards,3.7,(2.8k),9k,222,45
Jindal Stainless,4.2,(2.8k),10.9k,293,7
I Process Services,3.9,(2.8k),5.3k,124,2
Zensar Technologies,3.7,(2.8k),25.2k,269,423
ACC,3.9,(2.8k),9k,225,20
HDFC Sales,3.9,(2.8k),8.1k,186,68
Quest Global,3.5,(2.8k),20.2k,338,147
Shoppers Stop,4.0,(2.8k),6.9k,131,12
Nokia,4.0,(2.8k),15.6k,303,302
Fujitsu,3.8,(2.8k),16.9k,207,199
UnitedHealth,4.0,(2.8k),14.8k,84,--
IDFC FIRST Bharat,4.2,(2.8k),5.1k,131,--
Suzlon Group,4.0,(2.7k),7.4k,158,12
Apollo Tyres,4.0,(2.7k),9.6k,146,1
DS Group,4.1,(2.7k),7.3k,200,39
Eternal Limited,3.6,(2.7k),13.7k,348,5
Fiserv,2.8,(2.7k),17.5k,191,71
Whitehat jr,3.3,(2.7k),9.5k,263,--
Tata Elxsi,3.6,(2.7k),21.5k,330,49
Indus Towers,3.6,(2.7k),8.7k,213,29
IKS Health,3.5,(2.7k),10.7k,256,22
VVDN Technologies,3.6,(2.7k),12.9k,240,9
Yazaki,3.9,(2.7k),8.6k,166,6
ESAF Small Finance Bank,3.6,(2.7k),7.3k,150,34
Landmark Group,3.9,(2.6k),9k,165,11
Shree Cement,3.8,(2.6k),9.5k,190,--
Flex,3.9,(2.6k),15.9k,207,62
Capita,3.5,(2.6k),13k,161,48
Britannia,4.0,(2.6k),8k,210,3
Blue Dart Express Ltd,3.9,(2.6k),6.7k,120,2
SRF,4.1,(2.6k),8.6k,203,14
Ola Electric Mobility,3.3,(2.6k),8.7k,274,--
ElasticRun,3.6,(2.6k),6.1k,265,13
Shell,3.9,(2.6k),13.5k,224,22
Exide Industries,3.4,(2.6k),8.3k,200,66
Micro Labs,3.6,(2.5k),9.5k,143,17
Kansai Nerolac Paints,3.8,(2.5k),7.5k,182,66
KPMG Global Services,3.5,(2.5k),22.9k,242,--
Dalmia Bharat Cement,3.9,(2.5k),8.3k,181,2
Sahrudaya Healthcare (Medicover Hospitals),4.5,(2.5k),3.3k,136,31
TVS Supply Chain Solutions,3.8,(2.5k),8.3k,146,10
Sagility,3.9,(2.5k),10.2k,224,35
G4S,4.0,(2.5k),5k,123,390
Nestle,3.8,(2.5k),9.4k,268,18
Bharat Financial Inclusion,3.8,(2.5k),4.7k,108,2
BlackBuck,3.7,(2.5k),6.1k,203,14
KFintech,3.4,(2.5k),10.9k,164,2
GATI-KWE,3.9,(2.5k),4.9k,94,5
Voltas,4.0,(2.5k),8.4k,165,22
ZS,3.2,(2.5k),19k,499,179
Domino's Pizza,3.9,(2.5k),4k,113,--
Bajaj Electricals,3.9,(2.5k),7.5k,143,9
Sonalika Tractors,3.6,(2.4k),8.8k,157,--
ACT Fibernet,3.9,(2.4k),7.6k,155,27
Ajanta Pharma,3.9,(2.4k),8.7k,146,20
Star Health & Allied Insurance,3.5,(2.4k),9.4k,144,13
Sterlite Technologies,3.8,(2.4k),10k,175,122
Sammaan Capital Limited,3.8,(2.4k),6.1k,111,8
suzuki motor gujarat,4.2,(2.4k),7.9k,215,9
Blue Star,4.1,(2.4k),9.3k,189,125
Statestreet HCL Services,3.4,(2.4k),14.3k,217,--
Care Health Insurance,3.5,(2.4k),8.5k,149,48
Fortis Healthcare,4.0,(2.4k),7.3k,171,118
NoBroker,3.1,(2.4k),10.2k,272,289
Movate,3.2,(2.4k),14.5k,281,87
Alldigi Tech,3.9,(2.4k),7.3k,222,19
Paras Hospital,4.1,(2.4k),3k,95,52
Tractors and Farm Equipment,4.0,(2.4k),8.2k,126,14
DBS Bank,3.8,(2.4k),12.6k,187,273
Patanjali Ayurved,3.9,(2.4k),6k,128,--
Himalaya Wellness,4.1,(2.4k),6.2k,139,30
Foundever,3.5,(2.4k),8.3k,171,82
BT Group,3.8,(2.4k),11k,221,13
Gallagher,3.7,(2.4k),13.1k,255,108
McDonald's,3.9,(2.4k),4.8k,146,1
Adani Power,3.8,(2.4k),9.1k,284,--
V-Mart,4.1,(2.4k),4.2k,177,8
Parle Agro,3.9,(2.3k),6.6k,138,3
JCB,3.9,(2.3k),9.4k,153,--
Exl India,3.5,(2.3k),13.8k,120,--
Axis Direct,3.7,(2.3k),4.7k,86,48
ICICI Securities,3.9,(2.3k),9.4k,183,65
Capgemini Engineering,3.4,(2.3k),15.1k,390,78
IntouchCX,2.7,(2.3k),9.3k,220,217
Taj Hotels Resorts and Palaces,4.2,(2.3k),4.6k,147,22
Planet Spark,3.9,(2.3k),3.2k,553,66
KocharTech,3.7,(2.3k),3.7k,79,50
Mahindra Holidays & Resorts,3.5,(2.3k),6k,119,68
Datamatics Global Services,3.3,(2.3k),11.5k,178,144
Tata Advanced Systems,3.7,(2.3k),12.1k,172,--
Emcure Pharmaceuticals,3.7,(2.3k),8.1k,119,44
Intellect Design Arena,3.7,(2.3k),13.1k,179,45
Mahindra Rural Housing Finance,4.0,(2.3k),4.8k,97,11
Zepto,3.6,(2.3k),7.8k,398,23
Canara HSBC Life Insurance,3.6,(2.3k),6.3k,127,4
Biocon Limited,4.0,(2.3k),11.6k,175,18
Laurus Labs,4.3,(2.3k),7k,141,7
Niva Bupa Health Insurance Company,3.6,(2.3k),7.9k,154,6
Cholamandalam MS General Insurance,3.7,(2.3k),5.7k,111,1
Info Edge,3.9,(2.3k),10.8k,362,416
3i Infotech,3.4,(2.2k),10.6k,157,33
Cybage,3.8,(2.2k),17.3k,212,12
Hero FinCorp,3.9,(2.2k),5.3k,106,27
Aditya Birla Group,4.1,(2.2k),9.8k,223,5
Akums Drugs & Pharmaceuticals Limited,4.3,(2.2k),6k,323,19
Lifestyle,4.3,(2.2k),6.8k,78,15
Delhi Public School,3.9,(2.2k),5.2k,148,198
Syngene International,3.9,(2.2k),12.3k,183,47
Photon Interactive,4.1,(2.2k),7k,123,1.7k
Physicswallah,3.6,(2.2k),7.4k,244,40
Cadila Pharmaceuticals,3.3,(2.2k),7.6k,149,90
Aditya Birla Capital,3.8,(2.2k),9.2k,190,--
Bureau Veritas,3.8,(2.2k),8k,135,18
Eureka Forbes,3.6,(2.2k),5.3k,85,9
Adani Group,3.8,(2.2k),10.4k,261,197
Xoriant,4.1,(2.2k),11.3k,221,51
Unacademy,2.9,(2.2k),10.2k,227,21
Sopra Steria,3.9,(2.2k),13.8k,173,182
Aavas Financiers,3.9,(2.2k),5.6k,107,57
Lava International,3.9,(2.2k),4.1k,79,3
Straive,3.3,(2.2k),9.6k,215,80
Myntra,3.9,(2.1k),10k,236,56
Sobha,3.8,(2.1k),8.1k,159,48
Kia India,4.0,(2.1k),7.9k,166,94
Tata Electronics,3.9,(2.1k),9.2k,223,34
Foxconn,3.8,(2.1k),9.5k,205,13
Radisson Hotels,4.0,(2.1k),5.2k,95,230
GVK Emergency Management and Research Institute,3.6,(2.1k),4.4k,104,26
Huawei Technologies,4.0,(2.1k),8.2k,117,3
RMSI,3.6,(2.1k),8.3k,181,20
GlaxoSmithKline Pharmaceuticals,4.0,(2.1k),5.5k,123,45
Nokia Networks,4.1,(2.1k),10.6k,123,--
Team Computers,3.7,(2.1k),8.2k,194,168
Endurance Technologies,3.9,(2.1k),7.6k,128,13
Whirlpool,3.9,(2.1k),7.7k,112,13
Cisco,4.1,(2.1k),18.3k,398,123
Panasonic Life Solutions India,4.0,(2.1k),6.6k,90,10
SBI Securities,3.7,(2.1k),6.5k,172,91
TaskUs,3.1,(2.1k),8.5k,204,709
Lodha Group,4.0,(2.1k),8.3k,155,159
Apollo Pharmacy,3.7,(2.1k),6.4k,167,26
Indian Railways,4.1,(2.1k),3.4k,108,--
TCE,3.8,(2.1k),8.9k,282,61
Star Union Dai-ichi Life Insurance,3.9,(2.1k),5.2k,125,37
Ola Cabs,3.3,(2.1k),9.2k,150,17
Simplex Infrastructures,3.4,(2.1k),4.7k,77,--
Bharti AXA Life Insurance,3.6,(2.1k),5k,139,132
Renault Nissan Technology & Business Centre India,3.8,(2.1k),13.9k,148,67
Adani Wilmar,4.1,(2.1k),6.4k,127,94
Shahi Exports,4.0,(2k),6.6k,121,28
SBI General Insurance,3.6,(2k),6.2k,121,60
ValueLabs,3.5,(2k),15.3k,204,79
Bank of Baroda,3.5,(2k),6.6k,109,--
Henry Harvin Education,3.7,(2k),855,52,40
Ambuja Cements,3.8,(2k),5.9k,148,--
Sify Technologies,3.7,(2k),9.6k,144,29
Coromandel International,4.1,(2k),7.3k,118,16
Meesho,3.7,(2k),8.7k,406,217
Allstate,3.7,(2k),11.8k,149,30
Life Insurance Corporation of India,4.4,(2k),4.3k,90,3
BHEL,4.1,(2k),5k,128,--
Force Motors,3.7,(2k),8k,139,1
Microsoft Corporation,3.8,(2k),26.7k,598,--
Pfizer,3.9,(2k),5.6k,79,52
upGrad,3.4,(2k),8.8k,212,31
Daikin Airconditioning India Pvt. Ltd.,4.1,(2k),7.4k,194,22
Extramarks Education,3.4,(2k),7.4k,169,21
CAMS,3.6,(2k),8.2k,138,20
State Street Syntel,3.7,(2k),7.8k,79,--
Raymond Lifestyle Limited,4.1,(2k),6.5k,107,3
Cargill,3.9,(2k),8k,107,326
Ninjacart,3.8,(2k),5.2k,101,20
Spark Minda,3.9,(2k),6.8k,148,13
Renault-Nissan,4.1,(2k),7.6k,118,--
BNP Paribas,3.7,(2k),16.7k,202,1k
Reliance Trends,4.1,(2k),4.2k,121,--
Future Generali India Life Insurance,3.5,(2k),6.7k,113,22
Power Mech Projects,3.8,(2k),6.3k,113,5
Bharat Petroleum,4.1,(2k),6.5k,168,--
Mercedes-Benz Research and Development India,3.7,(1.9k),17k,203,120
Poonawalla Fincorp,3.5,(1.9k),5.4k,72,12
FirstCry,3.6,(1.9k),8.3k,202,6
Brakes India,3.9,(1.9k),6.8k,90,6
Delphi TVS,3.9,(1.9k),5.4k,93,2
ITC Hotels,4.1,(1.9k),5.1k,96,--
Kotak Securities,3.5,(1.9k),9.1k,135,27
Saint-Gobain,3.9,(1.9k),10.8k,194,90
Nuvoco Vistas,4.1,(1.9k),6.6k,117,11
Reliance General Insurance,3.6,(1.9k),6.9k,95,12
HSBC Electronic Data Processing,4.1,(1.9k),8.6k,81,--
GAO Tek,4.4,(1.9k),241,423,--
CitiusTech,3.2,(1.9k),13.7k,304,117
SAP,4.1,(1.9k),16.6k,303,146
JK Tyres,3.6,(1.9k),6.7k,112,--
YASH Technologies,3.7,(1.9k),15.9k,165,729
SGS,3.8,(1.9k),5.9k,114,135
Novartis,4.2,(1.9k),9.4k,162,275
Morgan Stanley,3.6,(1.9k),24.3k,322,9
Biological E,4.2,(1.9k),6.8k,131,41
Jio Platforms,3.4,(1.9k),12.7k,236,--
L&T Energy Hydrocarbon,3.8,(1.9k),8k,114,--
Infinite Computer Solutions,3.3,(1.9k),14.1k,166,242
Tata Motors Finance,4.0,(1.9k),4.4k,69,1
IDBI Bank,3.4,(1.9k),6k,75,--
AECOM,4.2,(1.9k),6.6k,138,368
Newgen Software Technologies,3.8,(1.9k),11.2k,198,17
Google,4.4,(1.8k),27.8k,960,525
Paisabazaar.com,3.4,(1.8k),6.8k,160,67
Parle Products,3.9,(1.8k),3.6k,108,9
Honeywell Automation,3.8,(1.8k),11.5k,125,--
EPAM Systems,3.7,(1.8k),19.7k,593,164
Senco Gold,4.4,(1.8k),1.4k,578,1
NCR Corporation,3.6,(1.8k),9k,142,49
